Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:13:29        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39          sda      0,50      0,00      5,59      0,00     11,20      0,00      3,20      0,15
09:13:39         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39         sda2      0,50      0,00      5,59      0,00     11,20      0,00      3,20      0,15
09:13:39        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49          sda      0,30      0,00      7,20      0,00     24,00      0,00      3,33      0,10
09:13:49         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49         sda2      0,30      0,00      7,20      0,00     24,00      0,00      3,33      0,10
09:13:49        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
